week,slot_number,brand,recipe_title,person_size,calories,grams
2026-W22,8,HelloFresh,Family Favourite Pork Polpette Topped Naanizza,2,4410,482.6
2026-W22,9,HelloFresh,Fast Fragrant Vietnamese Style Chicken Salad,2,2636,435
2026-W22,10,HelloFresh,Thai Style Spiced Chicken and Satay Sauce,2,3853,601
2026-W22,11,HelloFresh,Quick Indonesian Inspired Pork Noodles,2,2991,406.8
2026-W22,12,HelloFresh,Fragrant Sach Ko Ang Inspired Beef Kofta Baguette,2,3628,445.5
2026-W22,13,HelloFresh,Indonesian Gado Gado Inspired Salad,2,2622,619.5
2026-W22,14,HelloFresh,South East Asian Inspired Chickpea Curry,2,4019,790.2
2026-W22,15,HelloFresh,Pork Steak and Sweet & Sour Ginger Rhubarb Sauce,2,2478,548.5
2026-W22,16,HelloFresh,Purple Sprouting Broccoli and Chorizo Jam Rigatoni,2,3202,562.5
2026-W22,17,HelloFresh,Sticky Thai Style Pork Rice Bowl,2,2967,524.5
2026-W22,18,HelloFresh,Harissa Butter Jersey Royal Potato and Bacon Salad,2,2896,455
2026-W22,19,HelloFresh,Crispy Falafel and Harissa Spiced Rice Bowl,2,3603,649.5
2026-W22,20,HelloFresh,Creamy Green Pesto Butter Bean Shakshuka,2,3715,828
2026-W22,21,HelloFresh,Peri Peri Spiced Salmon and Cheesy Chips,2,2630,515.8
2026-W22,22,HelloFresh,Cheesy Crusted Haddock,2,2971,728.4
2026-W22,23,HelloFresh,Peanut and Prawn Noodle Stir-Fry,2,2062,451
2026-W22,24,HelloFresh,Quick Chermoula Prawns and Stir-Fried Veg,2,1895,461.3
2026-W22,25,HelloFresh,Crispy Jerk Basa Burger and Chips,2,3776,652.3
2026-W22,26,HelloFresh,Creamy Bacon Linguine Pesto Alfredo,2,3191,471.3
2026-W22,27,HelloFresh,Super Quick Spicy Middle Eastern Style Chicken,2,4039,581.8
2026-W22,28,HelloFresh,15 Minute Chicken Tikka Masala,2,3346,475
2026-W22,29,HelloFresh,Super Quick Pork Cheeseburger Inspired Sloppy Joe,2,3898,409.3
2026-W22,30,HelloFresh,15 Minute Cheesy Bacon Orzo,2,3068,351.3
2026-W22,31,HelloFresh,Chinese BBQ Style Pork Steak,2,2371,542.5
2026-W22,32,HelloFresh,Chipotle Chicken Fajita Traybake,2,2081,521.3
2026-W22,33,HelloFresh,Caribbean Jerk Inspired Chicken Traybake,2,2251,577.3
2026-W22,34,HelloFresh,21 Day Aged Rump Steak and Creamy Cajun Rigatoni,2,3382,432.3
2026-W22,35,HelloFresh,Quick Chicken and Pesto Cream Sauce,2,3176,722.5
2026-W22,36,HelloFresh,Creamy Pesto Ham Tortelloni,2,2990,440.7
2026-W22,37,HelloFresh,Gyros Inspired Sweet Chilli Chicken Flatbread,2,4119,526.5
2026-W22,38,HelloFresh,Sweet and Sticky Korean Style Chicken Stir-Fry,2,2716,576
2026-W22,39,HelloFresh,Super Quick Teriyaki Pork,2,3116,407.5
2026-W22,40,HelloFresh,Sausages and Smoky Bean Casserole,2,3002,625.7
2026-W22,41,HelloFresh,Quick Warming Chettinad Style Chicken Curry,2,3419,572
2026-W22,42,HelloFresh,Cheesy Loaded Veggie Nachos,2,4069,648.3
2026-W22,43,HelloFresh,Peanut-Sesame Charred Hispi Cabbage Bowl,2,3903,856.8
2026-W22,44,HelloFresh,Warming Indian Style Spiced Charred Corn Dal,2,3688,659.5
2026-W22,45,HelloFresh,"Simple Lemon, Leek and Pea Linguine",2,3513,479
2026-W22,46,HelloFresh,Spinach and Ricotta Tortelloni in Spicy Cajun Sauce,2,2980,467.3
2026-W22,47,HelloFresh,Mexican Style Roasted Veg Salad,2,2653,500
2026-W22,48,HelloFresh,Halloumi Thai Red Style Curry,2,3550,408.2
2026-W22,49,HelloFresh,Classic Meat-Free Mince Lasagne,2,3710,576.5
2026-W22,50,HelloFresh,Palak Tofu Curry and Basmati Rice,2,3698,637.3
2026-W22,51,HelloFresh,Rosé Style Linguine and TABASCO® Sauce Drizzle,2,2983,539.3
2026-W22,52,HelloFresh,Baked Goat's Cheese & Caramelised Onion Naanizza,2,2452,288.5
